职位,职位诱惑,薪资,工作地点,工作经历,学历要求,工作种类,工作描述
python开发工程师,"完善福利,充满正义感",7k-14k,成都,经验1-3年,大专及以上,全职,1、熟悉python web开发，了解python常见开发框架，数据常用技术栈；2、具有服务端开发经验，熟悉数据结构、设计模式、http协议、web开发技术；3、熟悉mysql数据库，了解elasticsearch搜索引擎；4、理解restful风格接口规范，对前端知识有一定了解；5、对数据爬虫，数据获取与分析有一定了解；任职要求：1、2年以上的相关工作经验2、工作认真，责任心强，具有良好的沟通和团队协作能力3、具体相应的项目经验4、能接受长期出差
python应用开发工程师,"月度奖励,年终奖励,五险一金,食堂小卖部",9k-15k,成都,经验1-3年,本科及以上,全职,岗位职责：1、负责公司的媒体行业智能应用开发；2、负责实现接口逻辑设计和优化，建立和完善开发文档；3、产品发布上线时，协助完成项目调试、部署等工作；4、持续改进产品，为公司其他部门提供技术方案评估。 任职要求：1、统招本科及以上学历，熟练掌握Python，有2年相关工作经验；2、熟悉常用的网络库，熟悉常用数据结构和算法，有高并发网络设计经验优先；3、熟悉Linux操作系统及其常用命令，熟悉Nginx等WebServer的部署和应用；4、具备数据库设计能力，熟练掌握MySql和Redis等常用数据库，熟悉git等协作工具，以及敏捷开发流程；5、善于沟通、积极主动、踏实认真，具有良好的团队协作精神。
Python 研发工程师,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间,25k-45k,北京,经验3-5年,本科及以上,全职,
Python开发工程师,提升空间大,15k-30k,北京,经验5-10年,大专及以上,全职,"工作职责：1.负责爬虫的开发，网络数据抓取、提升爬虫性能；2.业务需求分析，数据收集、数据模型设计、基于mysql的数据仓库开发报表，编码SQL与存储过程，并视情况进行SQL优化；数据库报表呈现及优化；3.设计并构建NLP基础平台，用于处理各类NLP任务；4.构建NLP相关的预测模型，服务于用户画像、推荐、广告等系统；5.应用机器学习处理海量非结构化文本数据，完成知识抽取、NLU、多轮对话决策、智能纠错、逻辑推理等在实用场景下的落地实现；6.搭建算法平台、开发基础算法，实现基于需求和场景的算法开发、算法评估和算法迭代，实现特征中心的特征开发和优化；任职资格：1.5年以上互联网行业研发工作经验；2.熟悉常用报表/图表开发工具；熟悉mysql数据库，数据仓库，精通SQL语言； 3.精通Python/C++/Java语言，对算法和数据结构有深入研究, 有Linux相关平台应用程序开发经验、有大规模搜索、推荐系统实际研发经验；4.熟悉掌握算法和数据结构，具备扎实的数据结构与算法功底，能够合理应用保证系统的性能与效率；5.NLP基础知识系统扎实， 掌握机器学习相关知识，有有NLP开发、深度学习和增强学习算法经验的优先；6.有推荐系统研发经验，有协同过滤、逻辑回归、GBDT、DNN等，有推荐、广告或搜索算法研发等方面实践经验者优先；7.良好的文档输出能力及丰富的网站服务架构经验，具备技术前瞻能力；8.具备良好的团队合作精神，高度的责任感，善于沟通，为人踏实，抗压能力强，拥有严谨的工作态度；"
Python开发,"年终奖,双休,六险一金,地铁周边",10k-15k,深圳,经验3-5年,大专及以上,全职,Python后端3年以上相关开发经验熟练Linux环境开发、Shell熟悉Django、Flask等web框架有基于Python开发自动化系统经验者优先
Python工程师,"双休,年终奖,下午茶,聚餐",10k-16k,广州,经验1-3年,大专及以上,全职,岗位要求：1、负责设计、开发、维护爬虫系统及数据抓取；2、对海量数据进行建模、清洗、分析。 任职要求：1、计算机/人工智能/机器学习/统计学/本科以上学历，对数据敏感；2、至少熟悉Python框架其中一种(Django、 Tornado、Flask)，本科以上学历；3、熟悉爬虫抓取原理，了解反爬策略；4、了解分布式架构，开发过爬虫相关优先，具备快速分析问题解决问题的能力；5、具有高度责任心、团队合作意识，沟通能力、思路清晰，良好的学习能力。
Python软件研发工程师,"行业火,氛围棒,福利全,五险一金",8k-16k,长沙,经验3-5年,大专及以上,全职,"岗位职责：1.Linux/Unix平台下的编程和操作2.思路清晰，善于思考，能独立分析和解决问题3.完成区块链和区块链上相关应用的代码开发和测试入职要求：1.熟悉区块链技术2.热爱计算机软件开发行业3.有良好的语言基础和面向对象的编程思想,能够熟练运用Python，熟悉JavaScript4.了解区块链常识，对区块链、数字货币等技术方向有浓厚兴趣5.良好的逻辑思维能力，乐观积极的工作态度，优秀的学习能力6.有独立项目、大型网站开发经验优先员工福利：1.五险一金，带薪年假，每年固定提薪；2.项目奖金+年终奖+年货+开门红包+节日福利；3.提供员工宿舍，员工班车；4.员工团建，集体旅游活动，游山玩水；5.提供内部学习资料，每月可申请购买书籍；6.广阔的晋升通道，健全的晋升制度，平台够大，愿有多大，路就有多长"
Python开发,"亿级平台,准上市,极客文化,不加班",15k-30k,上海,经验3-5年,本科及以上,全职,岗位职责：1、根据开发进度和任务分配按时按量完成相应模块软件的设计、开发；2、能独立处理和解决工作中遇到的问题；3、进行程序单元、功能的测试，对软件中存在的BUG能准确定位并解决；4、进行编制项目文档，记录工作质量；5、参与运维自动化产品功能开发可行性需求的分析和相关评估。岗位要求1、本科及以上学历，计算机、自动化相关专业毕业；2、熟练使用Python，熟练django框架，语言经验在两年或以上，基本功扎实，标准库熟练；3、会写，会调，熟悉热门的Python库，如requests，Jinja2，pandas，Numpy等；4、熟悉Linux的命令行操作；5、不错的英文读写功力，阅读python相关技术文档，热爱Python，对自己的代码风格要求严格，有技术热情，执行力强。加分项：1、有python开源项目；2、对devops有深入理解和独特看法。
Python研发工程师,"弹性工作,百万医疗,10天年假,高速增长",18k-25k,北京,经验3-5年,大专及以上,全职,"【岗位职责】负责在线服务数据平台的设计和实现。主要实现语言为Python，开发环境为Linux。【任职要求】1.扎实的Python编程基础，熟悉常用的开源库；2.深刻理解计算机原理，有良好的数据结构和算法基础；3.具备良好的识别和设计通用框架及模块的能力；4.热爱技术，工作认真、严谨，对系统质量有近乎苛刻的要求意识，善于沟通与团队协作；5.有扎实的编程能力，有优秀的设计和代码品位, 热爱编程；6.具备大型网站或高并发系统开发、设计工作经验者优先；7.2年以上工作经验，有创业经验者优先。【好巧福利】1.休闲水吧台+咖啡饮料+小吃零食水果不间断+旅游出行酒店、机票享内部优惠+定期团建轰趴、吃喝玩乐2.弹性工作+五险一金+商业保险+入职10天带薪年假+定期体检3.更大的发展空间，我们将尊重并全力支持你的Idea，你不再只是一颗螺丝钉4.只要你有能力，升职加薪你说了算!5.超和谐的工作氛围和人际关系，团队腾讯、百度、旅游业大咖云集，真正的扁平管理!嘿！加入我们！攻城狮们只要你需要，双屏配置也满足！我们希望你能和我们一起开心的工作和生活，让我们一起把每一天都变得更加有意义和美好！"
python开发工程师,平台大,15k-30k,北京,经验3-5年,本科及以上,全职,岗位职责：1. 负责大数据部门相关后台系统研发2. 负责大数据部门相关API接口的提供3. 负责相关高并发业务的开发任职资格： 1. 本科及以上学历，3年以上互联网业务开发开发经验 2. 精通Linux、Mysql、Redis3. 精通Python，熟练使用Flask、Gunicorn、Numpy、Scipy、ScikitLearn等类库，有golang和php开发经验者优先4. 有Spark SQL、Tensorflow等使用经验者优先5. 掌握基本的数据结构、算法，依据实际的数据问题具备一定的算法调优能力 6. 对商业化业务感兴趣，对数据敏感，逻辑性强，认同技术驱动业务发展的价值观，能不断用简单优雅的技术方案解决业务问题，有良好的逻辑思维与沟通能力
